name,type,value,date
=咬人猫=,1480000,1,2011-09-26
SnowRocker,824000,1,2012-08-16
SnowRocker,824000,2,2012-08-16
利昂·艾尔托沙,172000,1,2012-09-05
Riza_Hawkeye,39000,1,2012-09-08
RailSword,101000,1,2012-10-20
认真你就怎么了？,64000,1,2013-04-14
永恒类星体,73000,1,2013-07-28
吴克他偏头痛,33000,1,2013-08-06
糖哟,252000,1,2013-08-24
贤狼亚麻大,27000,1,2013-11-03
Teko酱,557000,1,2013-11-20
萌宅喵君,2361000,1,2013-11-21
萌宅喵君,2361000,2,2013-11-21
萌宅喵君,2361000,3,2013-11-21
DBCONAN,247000,1,2014-04-30
提不起劲的小明同学,51000,1,2014-05-05
北丶极,147000,1,2014-05-27
网易暴雪游戏视频,164000,1,2014-08-15
半支牙膏,758000,1,2014-08-15
半支牙膏,758000,2,2014-08-15
嘉栋KaTung,58000,1,2014-09-29
白夜夢,352000,1,2014-11-16
卡比兽1996,47000,1,2014-12-01
网易暴雪游戏视频,34000,2,2015-03-23
衫鼎动人,302000,1,2015-04-03
枫思love摄恋,650000,1,2015-04-13
枫思love摄恋,650000,2,2015-04-13
枫思love摄恋,650000,3,2015-04-13
网易暴雪游戏视频,80000,3,2015-04-14
网易暴雪游戏视频,53000,4,2015-04-20
翡冷翠的风,78000,1,2015-06-08
麻痹怒气,52000,1,2015-07-16
柚子木字幕组,242000,1,2015-07-20
粉红皮卡丘小马,1152000,1,2015-11-07
柚子木字幕组,610000,2,2015-11-07
粉红皮卡丘小马,1152000,2,2015-11-07
柚子木字幕组,610000,3,2015-11-07
大头即使是正义,340000,1,2015-11-24
耳机虐杀狂魔,31000,1,2015-12-08
喃兑啊内,25000,1,2016-02-25
lswinset,1803000,1,2016-03-19
lswinset,1803000,2,2016-03-19
七御夜樱,26000,1,2016-04-17
三棵树下老科学,376000,1,2016-04-19
狂野狼狼,569000,1,2016-04-19
JIAN半世晨晓,662000,1,2016-04-27
JIAN半世晨晓,662000,2,2016-04-27
STN工作室,481000,1,2016-04-28
STN工作室,481000,2,2016-04-28
鼻子上的蚂蚁AoN,249000,1,2016-05-06
文曰小强,432000,1,2016-05-27
许同学93,41000,1,2016-05-31
windleavez,225000,1,2016-06-01
betty1214,14000,1,2016-06-03
谷阿莫,803000,1,2016-06-07
我是一只粽子啊,309000,1,2016-06-07
谷阿莫,803000,2,2016-06-07
凹凸君说,347000,1,2016-06-08
papi酱,1649000,1,2016-06-13
淮秀帮啊,194000,1,2016-06-14
起小点是大腿,263000,1,2016-06-20
奇然liya,248000,1,2016-06-26
我勒个大去↗,434000,1,2016-06-26
开饭了叫我,37000,1,2016-07-18
谷阿莫,578000,3,2016-07-23
巴索罗米熊正,380000,1,2016-07-25
巴索罗米熊正,380000,2,2016-07-25
MaDBeYoND,679000,1,2016-08-01
JeanieILH,126000,1,2016-08-03
Exelan,496000,1,2016-08-10
Exelan,361000,2,2016-08-10
Exelan,200000,3,2016-08-10
Exelan,496000,4,2016-08-10
萌大叔v,29000,1,2016-08-20
夏一可,258000,1,2016-08-30
疾风小怪兽,118000,1,2016-09-03
GodBlessMars,51000,1,2016-09-18
夏一可,182000,2,2016-09-23
喃兑啊内,42000,2,2016-09-28
喃兑啊内,28000,3,2016-09-30
Crewkicks,19000,1,2016-10-04
喃兑啊内,89000,4,2016-10-16
喃兑啊内,30000,5,2016-11-09
海边的熊孩子,61000,1,2016-11-24
喃兑啊内,46000,6,2016-12-02
三酮一五戊二醇,356000,1,2016-12-09
亚泽Eric,12000,1,2016-12-11
喃兑啊内,28000,7,2016-12-22
狐千岁,194000,1,2016-12-26
喃兑啊内,26000,8,2017-01-04
喃兑啊内,21000,9,2017-01-11
拂菻坊,595000,1,2017-01-12
电竞传奇,379000,1,2017-01-13
喃兑啊内,55000,10,2017-01-21
喃兑啊内,21000,11,2017-01-21
喃兑啊内,42000,12,2017-01-22
Awesent,61000,1,2017-01-28
Awesent,88000,2,2017-01-28
喃兑啊内,43000,13,2017-02-01
